2020-04-24 14:05:16 : Application loaded;	
2020-04-24 14:05:28 : Item = New Alias 1.TCFrnExh_Exit_1; Value = Min; Timestamp : 4/24/2020 1:41:31 PM; 	
2020-04-24 14:05:28 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:29 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:30 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:31 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:32 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:33 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:34 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:35 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:36 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:37 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:38 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:39 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:40 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:41 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:42 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:43 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:44 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:45 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:46 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:47 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:48 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:49 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:50 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:51 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:52 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:53 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:54 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:55 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:56 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:57 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:58 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:05:59 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:00 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:01 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:02 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:03 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:04 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:05 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:06 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:07 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:08 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:09 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:10 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:11 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:12 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:13 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:14 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:15 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:16 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:17 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:18 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:19 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:20 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:21 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:22 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:23 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:24 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:25 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:26 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:27 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:28 : Item = New Alias 1.TCFrnExh_Exit_1; Value = MN; Timestamp : 4/24/2020 2:05:52 PM; 	
2020-04-24 14:06:28 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:29 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:30 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:31 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:32 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:06:33 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:00 : Application loaded;	
2020-04-24 14:34:11 : OPC Server : Connect;	
2020-04-24 14:34:12 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:12 : Item = New Alias 1.TCFrnExh_Exit_1; Value = MN; Timestamp : 4/24/2020 2:05:52 PM; 	
2020-04-24 14:34:13 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:14 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:15 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:16 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:17 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:18 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:19 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:20 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:21 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:22 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:23 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:24 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:25 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:26 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:27 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:28 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:29 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:30 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:31 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:32 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:33 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:34 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:35 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:36 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:37 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:38 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:39 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:40 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:41 : OPC Server : Disconnect;	
2020-04-24 14:34:41 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:34:51 : Application closed;	
2020-04-24 14:42:33 : Application loaded;	
2020-04-24 14:42:53 : OPC Server : Connect;	
2020-04-24 14:42:53 : Item = New Alias 1.TCFrnExh_Exit_1; Value = MN; Timestamp : 4/24/2020 2:05:52 PM; 	
2020-04-24 14:42:53 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:42:54 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:42:55 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:42:56 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:42:57 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:42:58 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:42:59 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:00 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:01 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:02 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:03 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:04 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:05 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:06 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:07 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:08 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:09 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:10 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:11 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:12 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:13 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:14 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:15 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:16 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:17 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:18 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:19 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:20 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:21 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:22 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:23 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:24 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:25 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:26 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:27 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:28 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:29 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:30 : OPC Server : Disconnect;	
2020-04-24 14:43:30 : Item = New Alias 1.IestItem0; Value = 01; Timestamp : 4/24/2020 1:41:37 PM; 	
2020-04-24 14:43:33 : Application closed;	
2020-04-24 14:52:42 : Application loaded;	
2020-04-24 14:52:53 : OPC Server : Connect;	
